               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.058112,            0.020533,                   0,             0.21341,             0.22222,             0.13092,            0.040926,            0.045633,            0.011092,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.061094,            0.022342,                   0,             0.32606,             0.37037,             0.29883,            0.078191,            0.044739,            0.011616,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.048487,            0.021047,                   0,             0.23818,             0.33333,             0.17421,            0.065654,            0.041117,            0.011921,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.045046,            0.018227,                   0,             0.23818,             0.33333,             0.17421,            0.065654,            0.041117,            0.011921,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.043254,            0.021529,                   0,             0.21482,             0.22222,             0.14437,            0.055195,            0.041943,            0.012067,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.044098,            0.017444,                   0,              0.2301,             0.25926,             0.16001,            0.051003,            0.042146,            0.012222,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.047717,            0.023168,                   0,             0.20613,             0.25926,             0.15411,            0.053521,            0.042903,            0.012155,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.047984,             0.02093,                   0,             0.16583,             0.23584,             0.12897,             0.05154,            0.042797,            0.012638,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.050929,            0.025054,                   0,             0.33224,             0.25926,             0.19505,              0.0563,            0.043794,            0.012919,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.044954,            0.019487,                   0,             0.31954,             0.15702,             0.14651,            0.047623,            0.044515,            0.012815,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.043996,            0.023755,                   0,             0.19485,             0.22222,             0.16069,            0.055729,            0.043123,            0.012968,                   0,            0.008416,            0.008416,            0.008416
                  50,             0.04428,            0.021056,                   0,             0.18187,             0.30478,               0.152,            0.053723,            0.042588,            0.013016,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.043978,            0.023163,                   0,             0.28223,             0.37037,              0.2251,            0.070553,            0.042648,            0.012881,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.041346,            0.019882,                   0,             0.37937,             0.33333,             0.20676,            0.080384,            0.041768,            0.012168,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.038189,            0.019883,                   0,             0.35152,             0.40741,             0.23415,            0.083054,            0.041304,            0.012181,                   0,            0.008284,            0.008284,            0.008284
