               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10817,            0.032103,                   0,              0.0025,             0.11111,           0.0015945,          0.00057476,             0.07585,            0.026351,                   0,              0.0874,              0.0014,              0.0014
                   1,             0.10957,            0.031715,                   0,               0.002,             0.11111,           0.0015629,          0.00062465,            0.065132,            0.025135,                   0,             0.07389,           0.0028904,           0.0028904
                   2,            0.087233,            0.031473,                   0,           0.0028571,             0.22222,           0.0066678,           0.0021377,            0.062037,            0.022857,                   0,            0.060371,            0.004371,            0.004371
                   3,            0.080149,            0.029491,                   0,           0.0028978,             0.33333,             0.03723,           0.0087609,            0.056202,            0.020818,                   0,            0.046842,           0.0058416,           0.0058416
                   4,            0.076258,            0.031264,                   0,           0.0097937,             0.55556,            0.049926,            0.011359,            0.054691,            0.018335,                   0,            0.033302,           0.0073023,           0.0073023
                   5,            0.067111,            0.025695,                   0,             0.21708,            0.074074,             0.12305,            0.025068,            0.055534,            0.016164,                   0,            0.019753,           0.0087532,           0.0087532
                   6,            0.075007,            0.027753,                   0,            0.024216,             0.59259,            0.067245,            0.019451,            0.055004,            0.015142,                   0,            0.009802,            0.009802,            0.009802
                   7,             0.06856,            0.024342,                   0,            0.044255,             0.48148,             0.10293,            0.027267,            0.053904,            0.014246,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.060441,            0.023307,                   0,             0.11871,             0.33333,             0.10907,            0.037904,            0.055408,            0.013279,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.063047,            0.024589,                   0,            0.078693,             0.27215,             0.17924,             0.06064,               0.053,            0.012977,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.060777,            0.025498,                   0,            0.078693,             0.27215,             0.17924,             0.06064,               0.053,            0.012977,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.062903,            0.022867,                   0,            0.046701,             0.55556,            0.092538,            0.024957,            0.054104,            0.012897,                   0,             0.00967,             0.00967,             0.00967
