               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10911,            0.032002,                   0,              0.0025,             0.11111,           0.0015385,          0.00062029,            0.076478,            0.026293,                   0,              0.0874,              0.0014,              0.0014
                   1,             0.10985,            0.031569,                   0,           0.0026667,             0.14815,           0.0017561,          0.00032675,            0.068082,             0.02464,                   0,             0.07389,           0.0028904,           0.0028904
                   2,            0.087963,            0.031523,                   0,           0.0020833,             0.18519,           0.0052007,           0.0017175,            0.063914,            0.022401,                   0,            0.060371,            0.004371,            0.004371
